episodio,score,passos,segundos_jogo,bolas_usadas
876,299250,12559,104.66,3
877,370500,13489,112.41,3
878,359750,17456,145.47,3
879,493500,16096,134.13,3
880,384500,17037,141.98,3
881,240250,16094,134.12,3
882,348250,14446,120.38,3
883,326250,17597,146.64,3
884,375250,15763,131.36,3
885,428750,18990,158.25,3
886,201750,11629,96.91,3
887,331750,14366,119.72,3
888,349250,21529,179.41,3
889,174750,10283,85.69,3
890,347250,17960,149.67,3
891,360500,24424,203.53,3
892,254750,12778,106.48,3
893,185750,13752,114.60,3
894,291750,20077,167.31,3
895,616750,18789,156.57,3
896,430500,21464,178.87,3
897,287250,16228,135.23,3
898,930500,16605,138.38,3
899,199750,11892,99.10,3
900,371250,16861,140.51,3
901,2460750,65833,548.61,3
902,582000,25954,216.28,3
903,651500,22731,189.43,3
904,782250,21127,176.06,3
905,237000,11401,95.01,3
906,1266250,30054,250.45,3
907,1727500,39800,331.67,3
908,292500,15683,130.69,3
909,245500,13426,111.88,3
910,311500,14624,121.87,3
911,231750,15205,126.71,3
912,451250,20617,171.81,3
913,425250,20841,173.68,3
914,448250,21950,182.92,3
915,1206250,33843,282.02,3
916,143500,11061,92.18,3
917,494500,31130,259.42,3
918,506250,18879,157.32,3
919,246750,12747,106.22,3
920,137000,10351,86.26,3
921,263250,12579,104.82,3
